movieid,title,cluster_no,rating
3784,"Kid, The",1,3.06
3313,Class Reunion,1,1.5
3315,Happy Go Lovely,3,4.5
3316,Reindeer Games,12,2.46
3317,Wonder Boys,7,3.66
3323,Chain of Fools,20,4.0
3324,Drowning Mona,1,1.33
3325,"Next Best Thing, The",7,2.17
3326,What Planet Are You From?,9,3.17
3327,Beyond the Mat,3,3.7
3328,Ghost Dog: The Way of the Samurai,16,4.05
3329,The Year My Voice Broke,5,4.0
3330,Splendor in the Grass,5,4.25
3331,My Tutor,0,2.0
3334,Key Largo,16,4.2
3341,Born Yesterday,1,4.29
3342,Birdy,0,3.5
3344,Blood Feast,17,4.0
3345,"Charlie, the Lonesome Cougar",11,3.0
3347,Never Cry Wolf,0,4.17
3350,"Raisin in the Sun, A",0,3.83
3353,"Closer You Get, The",21,4.5
3354,Mission to Mars,9,2.69
3355,"Ninth Gate, The",15,3.2
3357,East-West (Est-ouest),5,4.0
3358,Defending Your Life,10,3.85
3359,Breaking Away,7,4.09
3360,Hoosiers (a.k.a. Best Shot),5,3.7
3361,Bull Durham,10,3.67
3362,Dog Day Afternoon,16,3.93
3363,American Graffiti,7,3.85
3364,"Asphalt Jungle, The",20,3.67
3365,"Searchers, The",0,4.07
3368,"Big Country, The",5,3.25
3370,Betrayed,13,2.5
3372,"Bridge at Remagen, The",14,4.0
3374,Daughters of the Dust,0,4.0
3378,"Ogre, The (Unhold, Der)",0,4.0
3379,On the Beach,0,4.5
3384,"Taking of Pelham One Two Three, The",19,4.5
3385,Volunteers,1,2.81
3386,JFK,13,3.5
3387,Who's Harry Crumb?,1,2.86
3388,Harry and the Hendersons,1,2.55
3389,Let's Get Harry,6,2.0
3390,Shanghai Surprise,5,2.0
3391,Who's That Girl?,1,2.5
3392,She-Devil,1,2.33
3393,Date with an Angel,21,1.33
3394,Blind Date,21,2.31
6044,Blind Date,15,2.31
3395,Nadine,1,3.0
3396,"Muppet Movie, The",11,3.59
3397,"Great Muppet Caper, The",1,3.45
3398,"Muppets Take Manhattan, The",1,3.33
3400,We're Back! A Dinosaur's Story,11,3.0
3401,Baby... Secret of the Lost Legend,9,2.2
3402,Turtle Diary,10,4.0
3403,Raise the Titanic,13,4.0
3405,"Night to Remember, A",14,3.0
3406,Captain Horatio Hornblower R.N.,14,3.0
3408,Erin Brockovich,0,3.53
3409,Final Destination,13,2.93
3410,Soft Fruit,7,4.0
3412,"Bear, The (Ours, L')",0,3.42
3414,Love Is a Many-Splendored Thing,5,4.0
3415,"Mirror, The (Zerkalo)",0,4.17
3417,"Crimson Pirate, The",1,3.0
3418,Thelma & Louise,16,3.46
3420,...And Justice for All,13,3.17
3421,Animal House,1,3.69
3422,She's Gotta Have It,21,3.33
3423,School Daze,0,2.17
3424,Do the Right Thing,0,4.04
3425,Mo' Better Blues,0,3.4
3426,Jungle Fever,5,3.07
3428,"Champ, The",0,3.0
3429,Creature Comforts,1,4.25
3430,Death Wish,19,3.2
184931,Death Wish,8,3.2
3431,Death Wish 2,14,1.67
3432,Death Wish 3,14,1.5
3433,Death Wish 4: The Crackdown,14,1.0
3434,Death Wish 5: The Face of Death,14,1.0
3435,Double Indemnity,16,4.32
3436,Dying Young,5,3.75
3438,Teenage Mutant Ninja Turtles,18,2.97
113348,Teenage Mutant Ninja Turtles,6,2.97
3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,2,2.69
3440,Teenage Mutant Ninja Turtles III,11,2.07
3441,Red Dawn,14,3.28
98239,Red Dawn,14,3.28
3442,Band of the Hand,19,1.0
3444,Bloodsport,14,2.94
3445,Eyes of Laura Mars,4,3.5
3446,Funny Bones,7,2.75
3447,"Good Earth, The",0,4.0
3448,"Good Morning, Vietnam",7,3.8
3449,"Good Mother, The",0,4.0
3450,Grumpy Old Men,1,3.29
3451,Guess Who's Coming to Dinner,0,4.55
3452,Romeo Must Die,8,3.08
3453,Here on Earth,5,3.0
3454,Whatever It Takes,21,2.25
3455,Buddy Boy,13,2.5
3459,Gothic,0,4.0
3461,Lord of the Flies,13,3.18
4951,Lord of the Flies,13,3.18
3462,Modern Times,10,3.72
3466,Heart and Souls,1,3.0
3467,Hud,0,3.75
3468,"Hustler, The",0,4.33
3469,Inherit the Wind,0,4.08
3470,Dersu Uzala,0,4.3
3471,Close Encounters of the Third Kind,9,3.74
3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),1,5.0
3474,Retroactive,4,4.0
3475,"Place in the Sun, A",5,4.5
3476,Jacob's Ladder,17,3.56
3477,Empire Records,7,3.38
3478,"Bamba, La",0,2.79
3479,Ladyhawke,11,3.33
3480,Lucas,5,3.33
3481,High Fidelity,10,3.67
3483,"Road to El Dorado, The",2,3.12
3484,"Skulls, The",4,2.75
3489,Hook,11,3.36
3492,"Son of the Sheik, The",21,4.0
3494,True Grit,0,3.79
82459,True Grit,3,3.79
3496,Madame Sousatzka,0,5.0
3497,Max Dugan Returns,1,2.5
3498,Midnight Express,0,4.0
3499,Misery,13,3.84
3500,Mr. Saturday Night,7,3.0
3501,Murphy's Romance,21,2.3
3502,My Life,0,3.5
3503,Solaris (Solyaris),0,4.09
3504,Network,7,4.02
3505,No Way Out,13,3.72
3506,North Dallas Forty,7,3.0
3507,"Odd Couple, The",1,4.07
3508,"Outlaw Josey Wales, The",14,4.25
3510,Frequency,13,3.42
3511,Ready to Rumble,1,2.25
3512,Return to Me,5,3.56
3513,Rules of Engagement,13,3.07
3514,Joe Gould's Secret,0,3.0
3515,Me Myself I,21,3.61
3516,"Bell, Book and Candle",21,3.38
3519,Force 10 from Navarone,14,2.92
3521,Mystery Train,7,3.43
3524,Arthur,21,2.88
86293,Arthur,1,2.88
3525,Bachelor Party,1,2.9
3526,Parenthood,7,3.7
3527,Predator,12,3.58
3528,"Prince of Tides, The",5,3.4
3529,"Postman Always Rings Twice, The",8,3.56
7728,"Postman Always Rings Twice, The",16,3.56
3531,All the Vermeers in New York,10,5.0
3534,28 Days,0,3.3
3535,American Psycho,15,3.79
3536,Keeping the Faith,10,3.45
3537,Where the Money Is,7,3.33
3538,East is East,1,3.2
3539,"Filth and the Fury, The",3,3.25
3543,Diner,7,3.75
3544,Shakes the Clown,1,2.33
3545,Cabaret,0,3.0
3546,What Ever Happened to Baby Jane?,13,4.5
3548,Auntie Mame,7,3.7
3549,Guys and Dolls,21,3.94
3550,The Hunger,17,3.67
3551,Marathon Man,16,3.46
3552,Caddyshack,1,3.83
3553,Gossip,13,2.4
3554,Love and Basketball,5,3.0
3555,U-571,12,3.42
3556,"Virgin Suicides, The",5,3.77
3557,Jennifer 8,4,2.9
3559,Limelight,10,3.67
3563,"Crow: Salvation, The",17,2.5
3564,"Flintstones in Viva Rock Vegas, The",1,1.62
3565,Where the Heart Is,7,3.5
3566,"Big Kahuna, The",7,2.88
3567,Bossa Nova,10,5.0
3568,Smiling Fish and Goat on Fire,21,4.0
3569,"Idiots, The (Idioterne)",7,4.0
3571,Time Code,7,3.0
3572,Carnosaur,17,2.0
3573,Carnosaur 2,17,1.5
3574,Carnosaur 3: Primal Species,17,1.0
3576,"Hidden, The",18,3.5
3577,Two Moon Junction,5,2.0
3578,Gladiator,14,3.96
8132,Gladiator,14,3.96
3580,Up at the Villa,0,3.5
3581,Human Traffic,1,3.5
3584,Breathless,14,2.0
3586,The Idolmaker,5,4.0
3587,Inferno,17,2.75
165101,Inferno,4,2.75
3590,"Lords of Flatbush, The",7,2.0
3591,Mr. Mom,7,2.73
3592,"Time Masters (Maîtres du temps, Les)",9,4.5
3593,Battlefield Earth,18,1.66
3594,Center Stage,0,3.25
3596,Screwed,1,1.0
3597,Whipped,1,2.0
3599,Anchors Aweigh,1,3.2
3604,Gypsy,3,0.5
3606,On the Town,21,3.75
3608,Pee-wee's Big Adventure,1,2.94
3609,Regret to Inform,3,3.5
3614,Honeymoon in Vegas,21,2.94
3615,Dinosaur,11,3.11
3617,Road Trip,1,3.09
3618,Small Time Crooks,20,3.54
3619,"Hollywood Knights, The",1,2.0
3622,"Twelve Chairs, The",1,3.0
3623,Mission: Impossible II,6,2.71
3624,Shanghai Noon,6,3.15
3625,Better Living Through Circuitry,3,2.0
3626,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),1,3.33
3627,Carnival of Souls,15,3.88
3628,Flying Tigers,14,3.0
3629,"Gold Rush, The",21,4.07
3632,Monsieur Verdoux,20,4.0
3633,On Her Majesty's Secret Service,6,3.26
3634,Seven Days in May,4,4.0
3635,"Spy Who Loved Me, The",6,3.44
3637,Vagabond (Sans toit ni loi),0,5.0
3638,Moonraker,12,3.13
3639,"Man with the Golden Gun, The",6,3.58
3640,"King in New York, A",7,4.0
3641,"Woman of Paris, A",0,4.0
3643,"Fighting Seabees, The",14,3.5
3646,Big Momma's House,1,2.18
3648,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The)",17,4.0
3649,American Gigolo,0,2.69
3652,"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi)",17,3.0
3653,"Endless Summer, The",3,4.17
3654,"Guns of Navarone, The",14,3.77
3655,Blow-Out (La grande bouffe),0,4.25
3658,Quatermass and the Pit,17,3.0
3660,Puppet Master,15,2.0
3661,Puppet Master II,15,3.0
3662,Puppet Master III: Toulon's Revenge,15,3.0
3663,Puppet Master 4,15,2.0
3664,Puppet Master 5: The Final Chapter,15,2.0
3667,Rent-A-Cop,19,1.0
3668,Romeo and Juliet,5,3.67
3669,Stay Tuned,1,2.5
3671,Blazing Saddles,1,3.94
3672,Benji,11,3.8
3673,Benji the Hunted,11,4.5
3674,For the Love of Benji,7,4.0
3675,White Christmas,21,4.19
3676,Eraserhead,0,3.75
3677,Baraka,3,4.12
3678,"Man with the Golden Arm, The",0,5.0
3679,"Decline of Western Civilization, The",3,3.75
3680,"Decline of Western Civilization Part II: The Metal Years, The",3,3.0
3681,For a Few Dollars More (Per qualche dollaro in più),14,4.15
3682,Magnum Force,8,3.7
3683,Blood Simple,16,4.0
3684,"Fabulous Baker Boys, The",5,3.07
3685,Prizzi's Honor,10,3.78
3686,Flatliners,15,2.93
3687,Light Years (Gandahar),11,5.0
3688,Porky's,1,2.14
3689,Porky's II: The Next Day,1,1.75
3690,Porky's Revenge,1,2.0
3691,Private School,1,3.0
3692,Class of Nuke 'Em High,1,3.0
3693,"Toxic Avenger, The",1,2.12
3694,"Toxic Avenger, Part II, The",1,2.0
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The",1,2.0
3696,Night of the Creeps,15,3.17
3697,Predator 2,12,2.9
3698,"Running Man, The",18,3.22
3699,Starman,5,3.15
3700,"Brother from Another Planet, The",0,2.5
3701,Alien Nation,16,3.12
3702,Mad Max,18,3.49
3703,"Road Warrior, The (Mad Max 2)",12,4.04
3704,Mad Max Beyond Thunderdome,18,3.27
3705,Bird on a Wire,21,2.31
3706,Angel Heart,15,3.0
3707,9 1/2 Weeks (Nine 1/2 Weeks),5,2.7
3708,Firestarter,15,3.05
3709,Sleepwalkers,17,2.0
3710,Action Jackson,8,1.67
3711,Sarafina!,0,4.0
3712,Soapdish,1,2.83
3713,"Long Walk Home, The",0,4.0
3714,Clara's Heart,0,2.5
3715,Burglar,20,2.75
3716,Fatal Beauty,19,1.0
3717,Gone in 60 Seconds,19,3.22
26322,Gone in 60 Seconds,19,3.22
3719,Love's Labour's Lost,21,3.0
3720,Sunshine,0,3.67
52328,Sunshine,13,3.67
3724,Coming Home,0,3.3
3725,American Pop,2,3.5
3726,Assault on Precinct 13,12,3.35
31420,Assault on Precinct 13,8,3.35
3727,Near Dark,17,4.31
3728,One False Move,16,3.75
3729,Shaft,8,2.84
3744,Shaft,8,2.84
3730,"Conversation, The",0,4.21
3731,Cutter's Way,13,3.0
3732,"Fury, The",17,3.0
3733,"Paper Chase, The",0,3.83
3735,Serpico,16,3.79
3736,"Ace in the Hole (Big Carnival, The)",0,3.0
3737,Lonely Are the Brave,0,4.0
3738,"Sugarland Express, The",0,3.0
3739,Trouble in Paradise,21,3.5
3740,Big Trouble in Little China,6,3.86
3741,Badlands,16,4.09
3742,Battleship Potemkin,0,3.65
3743,Boys and Girls,21,2.0
3745,Titan A.E.,18,3.41
3746,Butterfly (La lengua de las mariposas),0,4.0
3747,Jesus' Son,0,3.5
3751,Chicken Run,2,3.55
3752,"Me, Myself & Irene",1,3.09
3753,"Patriot, The",14,3.45
72591,"Patriot, The",12,3.45
3754,"Adventures of Rocky and Bullwinkle, The",11,2.22
3755,"Perfect Storm, The",13,3.17
3756,"Golden Bowl, The",0,4.0
3758,Communion,13,3.5
3760,"Kentucky Fried Movie, The",1,3.5
3761,"Blood In, Blood Out",8,4.0
3763,F/X,8,3.22
3764,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),8,2.3
3765,"Hot Spot, The",5,3.0
3766,Missing in Action,14,2.08
3767,Missing in Action 2: The Beginning,14,1.67
3768,Braddock: Missing in Action III,14,1.25
3769,Thunderbolt and Lightfoot,14,3.33
3770,Dreamscape,15,2.67
3771,The Golden Voyage of Sinbad,6,4.0
3773,House Party,1,2.0
3774,House Party 2,10,0.75
3783,Croupier,16,3.95
3785,Scary Movie,1,2.92
3786,But I'm a Cheerleader,1,2.62
3787,Shower (Xizao),1,4.0
3788,Blow-Up (Blowup),0,3.67
3789,"Pawnbroker, The",0,3.5
3790,Groove,0,4.0
3791,Footloose,0,3.14
90343,Footloose,7,3.14
3792,Duel in the Sun,5,5.0
3793,X-Men,18,3.7
3794,Chuck & Buck,7,2.5
3795,"Five Senses, The",0,5.0
3797,"In Crowd, The",4,2.67
3798,What Lies Beneath,0,3.2
3799,Pokémon the Movie 2000,2,1.58
3801,Anatomy of a Murder,0,4.0
3802,Freejack,18,2.0
3806,Mackenna's Gold,3,3.0
3807,Sinbad and the Eye of the Tiger,11,3.0
3808,"Two Women (Ciociara, La)",0,4.0
3809,What About Bob?,1,3.27
3810,White Sands,13,3.0
3811,Breaker Morant,0,3.93
3812,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1,3.46
3813,Interiors,0,4.17
3814,Love and Death,1,4.22
3816,"Official Story, The (La historia oficial)",0,4.0
3819,Tampopo,1,4.0
3821,Nutty Professor II: The Klumps,1,2.28
3822,"Girl on the Bridge, The (Fille sur le pont, La)",5,4.12
3823,Wonderland,0,3.56
6868,Wonderland,16,3.56
3824,Autumn in New York,5,2.41
3825,Coyote Ugly,10,2.74
3826,Hollow Man,15,2.29
3827,Space Cowboys,18,2.89
3830,Psycho Beach Party,15,1.5
3831,Saving Grace,1,3.91
3832,"Black Sabbath (Tre volti della paura, I)",17,4.0
3833,"Brain That Wouldn't Die, The",17,1.5
3834,Bronco Billy,5,3.0
3835,"Crush, The",4,2.17
3836,Kelly's Heroes,1,4.13
3837,Phantasm II,12,2.5
3838,Phantasm III: Lord of the Dead,17,2.0
3839,Phantasm IV: Oblivion,17,1.67
3840,Pumpkinhead,17,2.4
3841,Air America,1,2.83
3843,Sleepaway Camp,17,2.38
3844,Steel Magnolias,0,3.33
3845,And God Created Woman (Et Dieu... créa la femme),0,4.0
3846,Easy Money,1,3.62
3847,"Ilsa, She Wolf of the SS",17,2.0
3849,The Spiral Staircase,15,4.0
3851,I'm the One That I Want,1,5.0
3852,"Tao of Steve, The",1,3.38
3855,"Affair of Love, An (Liaison pornographique, Une)",5,4.75
3857,Bless the Child,4,4.0
3858,Cecil B. DeMented,1,3.5
3859,"Eyes of Tammy Faye, The",3,3.75
3861,"Replacements, The",1,2.68
3862,About Adam,1,3.75
3863,"Cell, The",13,3.04
3864,Godzilla 2000 (Gojira ni-sen mireniamu),18,2.1
3865,"Original Kings of Comedy, The",1,3.25
3868,"Naked Gun: From the Files of Police Squad!, The",19,3.4
3869,"Naked Gun 2 1/2: The Smell of Fear, The",1,3.42
3870,Our Town,0,3.0
3871,Shane,0,3.9
3872,"Suddenly, Last Summer",0,3.5
3873,Cat Ballou,1,3.14
3877,Supergirl,6,2.22
3879,"Art of War, The",12,2.0
3882,Bring It On,1,2.69
3884,"Crew, The",1,1.5
3888,Skipped Parts,5,4.0
3889,Highlander: Endgame (Highlander IV),6,2.25
3893,Nurse Betty,10,3.34
3894,Solas,0,4.0
3895,"Watcher, The",8,1.5
3896,"Way of the Gun, The",8,3.12
3897,Almost Famous,0,3.87
3898,Bait,1,2.5
3899,Circus,16,1.0
3900,Crime and Punishment in Suburbia,7,4.0
3901,Duets,7,3.25
3906,Under Suspicion,8,2.5
3908,Urban Legends: Final Cut,17,1.5
3909,Woman on Top,21,2.0
3910,Dancer in the Dark,0,3.98
3911,Best in Show,1,3.69
3912,Beautiful,7,2.5
3914,"Broken Hearts Club, The",0,4.0
3915,Girlfight,0,3.67
3916,Remember the Titans,0,3.74
3917,Hellraiser,17,3.37
3918,Hellbound: Hellraiser II,17,3.28
3919,Hellraiser III: Hell on Earth,17,2.5
3920,"Faraway, So Close (In weiter Ferne, so nah!)",5,4.0
3922,Bikini Beach,1,1.0
3925,Stranger Than Paradise,7,3.92
3926,Voyage to the Bottom of the Sea,9,3.0
3927,Fantastic Voyage,9,2.67
3928,Abbott and Costello Meet Frankenstein,1,3.75
3929,"Bank Dick, The",1,2.5
3930,"Creature from the Black Lagoon, The",9,2.12
3932,"Invisible Man, The",17,3.5
3933,"Killer Shrews, The",17,0.5
3937,Runaway,4,2.62
3938,"Slumber Party Massacre, The",17,2.75
3939,Slumber Party Massacre II,17,5.0
3940,Slumber Party Massacre III,17,5.0
3941,Sorority House Massacre,17,5.0
3942,Sorority House Massacre II,17,5.0
3943,Bamboozled,1,2.94
3945,Digimon: The Movie,11,3.0
3946,Get Carter,14,2.81
3947,Get Carter,8,2.81
3948,Meet the Parents,1,3.42
3949,Requiem for a Dream,0,3.92
3950,Tigerland,0,3.56
3951,Two Family House,0,5.0
3952,"Contender, The",13,3.07
3953,Dr. T and the Women,21,2.12
3955,"Ladies Man, The",1,1.58
3957,Billy Jack,14,2.67
3958,Billy Jack Goes to Washington,0,2.0
3959,"Time Machine, The",18,3.07
5171,"Time Machine, The",18,3.07
3962,Ghoulies II,1,1.5
3963,"Unsinkable Molly Brown, The",3,3.75
3964,"Adventures of Ichabod and Mr. Toad, The",2,3.0
3965,"Strange Love of Martha Ivers, The",0,3.5
3966,Detour,20,3.5
3967,Billy Elliot,0,3.85
3968,Bedazzled,1,3.04
7708,Bedazzled,1,3.04
3969,Pay It Forward,0,3.44
3971,"Private Eyes, The",1,2.75
3972,"Legend of Drunken Master, The (Jui kuen II)",1,4.12
3973,Book of Shadows: Blair Witch 2,15,1.12
3974,"Little Vampire, The",11,3.0
3977,Charlie's Angels,1,2.72
3978,"Legend of Bagger Vance, The",5,3.07
3979,Little Nicky,1,2.5
3980,Men of Honor,0,3.39
3981,Red Planet,12,2.35
3983,You Can Count on Me,5,4.17
3984,Diamonds Are Forever,6,3.5
3985,"Eagle Has Landed, The",0,3.25
3986,"6th Day, The",12,2.8
3987,Bounce,5,2.42
3988,How the Grinch Stole Christmas (a.k.a. The Grinch),2,3.05
3989,One Day in September,3,4.0
3990,Rugrats in Paris: The Movie,2,2.25
3991,102 Dalmatians,1,2.78
3992,Malèna,5,3.7
3993,Quills,5,3.0
3994,Unbreakable,0,3.48
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",5,3.84
3997,Dungeons & Dragons,6,1.83
3998,Proof of Life,0,3.04
3999,Vertical Limit,6,2.61
4000,"Bounty, The",0,3.0
4002,"Planes, Trains & Automobiles",1,3.85
4003,She's Having a Baby,1,3.33
4005,"Living Daylights, The",6,3.29
4006,Transformers: The Movie,11,3.36
4007,Wall Street,0,3.75
4008,Born on the Fourth of July,0,3.54
4009,Talk Radio,0,3.0
4010,Brewster's Millions,1,2.94
4011,Snatch,20,4.16
4012,Punchline,7,2.5
4014,Chocolat,5,3.51
4703,Chocolat,0,3.51
4015,"Dude, Where's My Car?",9,2.73
4016,"Emperor's New Groove, The",11,3.72
4017,Pollock,0,3.54
4018,What Women Want,21,3.14
4019,Finding Forrester,0,3.71
4020,"Gift, The",4,2.92
4021,Before Night Falls,0,4.3
4022,Cast Away,0,3.7
4023,"Family Man, The",10,3.13
4024,"House of Mirth, The",5,2.17
4025,Miss Congeniality,20,3.05
4027,"O Brother, Where Art Thou?",20,3.81
4029,State and Main,7,3.88
4030,Dracula 2000,17,1.8
4031,All the Pretty Horses,5,2.5
4032,"Everlasting Piece, An",1,4.0
4033,Thirteen Days,13,3.92
4034,Traffic,16,3.9
4035,"Claim, The",5,2.83
4036,Shadow of the Vampire,0,3.14
4037,House of Games,8,3.81
4039,Annie,2,3.12
4040,Don't Tell Mom the Babysitter's Dead,1,2.35
4041,"Officer and a Gentleman, An",5,3.64
4042,"Alamo, The",14,3.38
4043,At Close Range,16,3.33
4046,Friendly Persuasion,0,4.0
4047,Gettysburg,0,3.67
4051,Horrors of Spider Island (Ein Toter Hing im Netz),17,0.5
4052,Antitrust,16,3.56
4053,Double Take,1,2.5
4054,Save the Last Dance,5,2.84
4055,Panic,0,4.0
4056,"Pledge, The",16,3.29
4061,The Man in the Moon,5,4.0
4062,Mystic Pizza,10,3.38
4063,Prelude to a Kiss,10,2.5
4064,Coffy,8,3.5
4065,Foxy Brown,19,2.5
4066,I'm Gonna Git You Sucka,1,2.88
4067,Untamed Heart,5,3.38
4068,Sugar & Spice,1,2.71
4069,"Wedding Planner, The",21,2.91
4074,"Legend of Rita, The (Stille nach dem Schuß, Die)",0,3.0
4077,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien)",13,4.5
4078,Amazing Grace and Chuck,0,4.0
4079,Amazon Women on the Moon,9,4.25
4080,Baby Boom,1,3.25
4081,Back to the Beach,1,1.83
4082,Barfly,10,3.5
4083,Best Seller,4,4.0
4084,Beverly Hills Cop II,8,2.87
4085,Beverly Hills Cop,19,3.4
4086,"Big Easy, The",8,3.5
4089,Born in East L.A.,1,2.0
4090,"Brave Little Toaster, The",2,3.56
4091,Can't Buy Me Love,21,3.25
4092,Cherry 2000,9,2.25
4093,Cop,4,1.5
4102,Eddie Murphy Raw,1,3.5
4103,Empire of the Sun,14,3.95
4104,Ernest Goes to Camp,1,1.4
4105,"Evil Dead, The",15,3.82
4109,Flowers in the Attic,13,2.57
4110,"Fourth Protocol, The",4,3.0
4111,Gardens of Stone,0,3.0
4113,"Glass Menagerie, The",0,3.0
4115,Hiding Out,1,2.0
4116,Hollywood Shuffle,1,5.0
4117,Hope and Glory,0,4.33
4121,Innerspace,18,3.12
4123,Ishtar,1,2.0
4124,Jaws: The Revenge,15,1.25
4125,Leonard Part 6,9,0.75
4126,Less Than Zero,0,3.5
4127,"Like Father, Like Son",1,1.67
4128,"Lost Boys, The",15,3.71
4129,Made in Heaven,5,1.0
4130,Maid to Order,1,1.83
4131,Making Mr. Right,21,1.83
4132,Mannequin,21,2.62
4133,Masters of the Universe,18,2.56
4135,"Monster Squad, The",1,5.0
4138,My Demon Lover,1,1.0
4139,No Man's Land,16,4.11
4967,No Man's Land,0,4.11
4141,Head Over Heels,21,2.5
4142,Left Behind: The Movie,14,4.25
4143,Valentine,17,3.5
4144,In the Mood For Love (Fa yeung nin wa),5,4.21
4146,"Million Dollar Hotel, The",5,3.0
4147,Nico and Dani (Krámpack),10,4.0
4148,Hannibal,15,2.94
4149,Saving Silverman (Evil Woman),21,2.77
4152,Vatel,0,4.25
4153,Down to Earth,21,2.42
4154,Recess: School's Out,2,4.0
4155,Sweet November,5,3.31
4156,Company Man,1,2.0
4157,"Price of Milk, The",10,4.5
4158,Monkeybone,2,2.08
4159,3000 Miles to Graceland,12,2.71
4160,"Widow of St. Pierre, The (Veuve de Saint-Pierre, La)",5,4.12
4161,"Mexican, The",1,3.35
4164,"Caveman's Valentine, The",0,3.5
4166,Series 7: The Contenders,14,2.5
4167,15 Minutes,4,3.0
4168,Get Over It,21,2.75
4171,Long Night's Journey Into Day,3,4.0
4174,Avalon,0,3.38
6790,Avalon,0,3.38
4175,Gray's Anatomy,7,3.62
4180,Reform School Girls,14,5.0
4181,Tapeheads,1,2.0
4184,"Bishop's Wife, The",10,4.0
4187,Lilies of the Field,0,3.83
4189,"Greatest Story Ever Told, The",0,2.5
4190,Elmer Gantry,0,4.0
4191,Alfie,10,2.86
8948,Alfie,10,2.86
4193,"Fantasticks, The",3,4.0
4195,"Abominable Dr. Phibes, The",17,3.83
4197,Real Life,1,3.0
4198,Battle Beyond the Stars,9,3.0
4200,Double Impact,14,3.25
4202,Fuzz,0,3.0
4203,Harley Davidson and the Marlboro Man,19,3.17
4204,Losin' It,1,1.0
4205,Mermaids,10,3.17
4207,Navy Seals,6,2.0
4210,Manhunter,8,3.92
4211,Reversal of Fortune,0,3.75
4212,Death on the Nile,20,3.0
4214,Revenge of the Nerds,1,2.88
4215,Revenge of the Nerds II: Nerds in Paradise,1,2.08
4217,4 Little Girls,3,4.25
4218,River's Edge,16,3.5
4219,Girls Just Want to Have Fun,1,3.33
4220,"Longest Yard, The",1,3.21
33646,"Longest Yard, The",7,3.21
4221,Necessary Roughness,1,2.62
4223,Enemy at the Gates,0,3.51
4224,Exit Wounds,12,2.75
4225,"Dish, The",1,4.0
4226,Memento,4,4.12
4228,Heartbreakers,21,2.15
4229,Say It Isn't So,21,2.12
4231,Someone Like You,21,3.5
4232,Spy Kids,6,2.95
4233,Tomcats,1,2.0
4234,"Tailor of Panama, The",13,3.2
4235,Amores Perros (Love's a Bitch),13,3.93
4236,Keep the River on Your Right: A Modern Cannibal Tale,3,3.5
4237,"Gleaners & I, The (Les glaneurs et la glaneuse)",3,4.0
4238,Along Came a Spider,8,3.15
4239,Blow,16,3.81
4240,Just Visiting,1,2.0
4241,Pokémon 3: The Movie,2,2.1
4242,Beautiful Creatures,16,2.0
100487,Beautiful Creatures,5,2.0
4243,Brigham City,16,4.0
4246,Bridget Jones's Diary,10,3.62
4247,Joe Dirt,21,2.38
4248,Josie and the Pussycats,1,1.75
4251,Chopper,13,2.0
4252,"Circle, The (Dayereh)",0,3.25
4254,Crocodile Dundee in Los Angeles,7,2.19
4255,Freddy Got Fingered,1,2.2
4256,"Center of the World, The",0,3.67
4259,"Luzhin Defence, The",5,3.5
4260,"Visit, The",0,2.75
140523,"Visit, The",1,2.75
4262,Scarface,19,3.93
25788,Scarface,16,3.93
4263,Days of Wine and Roses,0,4.0
4265,Driven,12,3.0
4267,One Night at McCool's,1,3.4
4268,Town & Country,1,2.5
4270,"Mummy Returns, The",6,3.09
4273,Under the Sand,0,4.5
4275,Krull,18,2.9
4276,Lost in America,1,2.5
4278,Triumph of the Will (Triumph des Willens),3,4.17
4280,"World According to Garp, The",10,3.56
4282,Fellini Satyricon,0,3.5
4284,Frankie and Johnny,1,2.88
4285,Frankie and Johnny,21,2.88
4289,"City of Women, The (Città delle donne, La)",7,2.83
4290,For the Boys,7,2.0
4291,Nine to Five (a.k.a. 9 to 5),20,2.73
4292,Norma Rae,0,3.5
4293,Summer Rental,1,2.5
4294,"5,000 Fingers of Dr. T, The",2,4.0
4296,Love Story,5,3.0
4297,Pelle the Conqueror (Pelle erobreren),0,3.75
4298,Rififi (Du rififi chez les hommes),8,4.75
4299,"Knight's Tale, A",21,3.34
4300,Bread and Roses,0,4.0
4304,Startup.com,3,3.6
4305,Angel Eyes,4,1.62
4306,Shrek,11,3.87
4307,"Fast Food, Fast Women",21,4.5
4308,Moulin Rouge,5,3.59
4310,Pearl Harbor,14,2.97
4312,Himalaya (Himalaya - l'enfance d'un chef),0,3.5
4313,"Man Who Cried, The",0,3.5
4316,Ice Castles,0,2.0
4317,Love Potion #9,21,2.5
4321,City Slickers,1,3.37
4322,Eight Men Out,0,3.75
